Gender,Percentile,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79
Men,4.9,21687,21671,22068.388,22090.484,22421.966,22830.208,23336.008,24422.499,25508.232,27839.668,30998.296,31609.026
Men,5,21624.5,21630,22008,22039.7,22374.5,22777.9,23251.9,24377.55,25441.3,27744,30910.4,31540.7
Men,5.1,21594,21578.805,21947.812,21972.558,22309.434,22720.996,23191.399,24341.005,25378.338,27699.474,30851.784,31511.356
Men,5.2,21549,21527,21885,21917.648,22264,22645.576,23155,24267.868,25302.368,27619,30825.56,31490.912
Men,5.3,21510,21487,21840.236,21849.748,22218.706,22590,23083,24181.812,25262.738,27578.308,30703.84,31481.776
Men,5.4,21472,21443,21792.344,21796.532,22159,22534.584,23019.492,24108.754,25236.652,27516.94,30554.792,31473.636
Men,5.5,21442.225,21402.05,21747,21748.19,22108.37,22480.78,22967.365,24067.415,25169.57,27467.56,30448.92,31469.87
Men,5.6,21401.12,21355.08,21700,21698.848,22054.208,22413,22934.288,23993.424,25097.704,27414.752,30384.52,31450.616
Men,5.7,21360.075,21319,21648,21632,22003.838,22361.258,22886.186,23949.535,25058.966,27353.298,30252.472,31381.752
Men,5.8,21316.91,21279,21594.296,21595.328,21951,22312.684,22851.042,23904.916,25019.936,27304.596,30233.56,31330.636
Men,5.9,21267.805,21240,21564.016,21554.644,21910.306,22253.846,22807.973,23831.018,24937.456,27264.656,30229.152,31308.578
Men,6,21245.8,21197.6,21534.72,21508.48,21855,22205.64,22762,23784.06,24906.36,27157.28,30169.36,31277.56
Men,6.1,21207.595,21159.71,21473.932,21468.138,21754.774,22151.478,22721.667,23732.665,24841.812,27067.926,30125.288,31238.286
Men,6.2,21178,21127,21436.288,21431.796,21697,22098.228,22671.676,23697.486,24781.104,26991.604,30104.2,31127.1
Men,6.3,21141,21065.465,21395.356,21386.454,21660,22062,22628.787,23654.426,24724.386,26892.286,30007.28,30979.15
Men,6.4,21100.28,21034.52,21360.568,21364.112,21609,22009.632,22570.152,23608.792,24678.344,26865.216,29977.256,30943.952
Men,6.5,21059,20995,21332.56,21326.77,21573.71,21953.87,22521.055,23569.315,24615.49,26815.89,29886.2,30936.42
Men,6.6,21024.07,20962.63,21293,21283.856,21544,21904.808,22462.634,23518.418,24569.724,26771.008,29850.992,30908.568
Men,6.7,20996.86,20932.37,21250.204,21239,21519.356,21848.198,22412.498,23464.085,24527.346,26730.006,29799.664,30879.746
Men,6.8,20962,20895,21211.416,21206.744,21489,21800,22348.064,23424.468,24490.496,26661.272,29737.224,30853.384
Men,6.9,20924.51,20864,21190,21174,21447,21763.262,22310.481,23358.861,24439.148,26566.03,29662.8,30807.38
Men,7,20889.3,20833,21149,21126,21408.38,21713.72,22274.29,23303.42,24381,26514.34,29616.76,30694.4
Men,7.1,20849.545,20794.81,21111.052,21086,21370.114,21673.458,22217.137,23250.589,24305.098,26483.632,29562.24,30597.854
Men,7.2,20814.88,20763,21085.528,21060.128,21326,21625.112,22162.984,23210.672,24284.024,26445.376,29446.424,30529.528
Men,7.3,20791.005,20733.015,21055,21022,21301.582,21582.308,22111.554,23165.446,24247.948,26343.04,29408.72,30446.954
Men,7.4,20764,20703.07,21023,20995.384,21266.948,21543.504,22078,23121.774,24197.06,26287.488,29384.536,30350.652
Men,7.5,20726.125,20672.125,20985.9,20963,21227.1,21508.85,22031.4,23101,24149.65,26246.45,29373.4,30315.6
Men,7.6,20706,20644,20947,20935.008,21204,21488.24,21997.248,23063.38,24108,26214.184,29284.12,30313.448
Men,7.7,20671,20603.235,20901.324,20911.332,21177,21457,21937.073,23024.708,24061.726,26175.372,29256.872,30279.346
Men,7.8,20631.81,20577,20863,20879.324,21149,21424.288,21882.176,22980.978,24033.82,26105.276,29215.112,30236.844
Men,7.9,20607.705,20543.69,20816,20855,21113.986,21392.452,21839,22955.116,24000.534,26038.292,29108.856,30193.84
Men,8,20577.2,20522,20787.92,20822.28,21082.88,21359,21801.84,22924.16,23971.92,25987.68,29078.96,30141.24
Men,8.1,20555.99,20493,20762.172,20787.298,21036.454,21334,21760.869,22904,23915.13,25955.126,28961.4,29969.618
Men,8.2,20529,20461.51,20733.384,20756,20991.376,21302,21726.454,22838.092,23877,25918.892,28868.248,29831.868
Men,8.3,20494.14,20423.565,20704.596,20732,20960.922,21270.268,21683.534,22802.932,23842.59,25883.726,28805.536,29817.342
Men,8.4,20454,20396,20677.808,20692.272,20933.656,21250.232,21651.864,22764.568,23798.528,25860.016,28767.64,29796.48
Men,8.5,20415,20366.675,20649.02,20665.93,20908,21226,21609.325,22734.67,23766.87,25760.79,28721.2,29764.2
Men,8.6,20388,20340,20615.232,20636,20882,21202.428,21565.842,22717.386,23729.78,25725.356,28626.52,29742.908
Men,8.7,20361.73,20307,20586.888,20609,20844.716,21179,21545.126,22694,23689.404,25685.676,28393.496,29732.686
Men,8.8,20339.76,20277,20554.968,20580.904,20815,21150.624,21525,22668.488,23667.784,25666.112,28332.64,29698.728
Men,8.9,20313,20255,20527,20557,20784.326,21116.444,21490,22625,23629.994,25594.062,28323.976,29651.384
Men,9,20296.55,20222.8,20497.08,20526.66,20759.06,21083,21467.41,22586.77,23604.26,25530.26,28310.84,29622.52
Men,9.1,20268,20194.005,20477,20491.756,20733.794,21060,21441.359,22560.923,23555.576,25435.548,28284.024,29598.848
Men,9.2,20233,20170,20443.504,20455.536,20692,21036,21415.232,22529.692,23524.728,25392.208,28257.864,29593.032
Men,9.3,20204.94,20141,20405,20428.388,20668.262,20999.614,21387,22506.944,23476.936,25367.838,28222.832,29585.124
Men,9.4,20180.13,20112.34,20371.928,20396.704,20638,20966,21364.206,22464.588,23455,25338.34,28132.112,29523.792
Men,9.5,20162,20083.225,20344.14,20367.53,20609.73,20951.81,21344.155,22445.915,23409.74,25265.65,28083.92,29473.13
Men,9.6,20137,20063,20317,20325.168,20571,20924,21329.104,22405.896,23380.032,25243.608,28003.224,29463.984
Men,9.7,20110.63,20031.335,20286.564,20291,20537.198,20892,21296.371,22389.894,23339.81,25199.78,27934.848,29369.092
Men,9.8,20084,20008.39,20263.552,20270,20501,20863.208,21271.004,22371.996,23314.848,25147.852,27901.872,29111.928
Men,9.9,20060.605,19975,20225,20233.568,20471.666,20843.404,21247.951,22327.049,23278.362,25115.268,27816.328,28942.01
Men,10,20021.5,19948,20198.2,20198.6,20432.2,20822.4,21218.8,22291.9,23241.4,25068.8,27744,28864
Men,10.1,19994,19919.555,20166.412,20175.458,20410,20791,21188,22243.453,23217.238,25003.87,27694.968,28824.184
Men,10.2,19972.29,19884.61,20139.624,20152.116,20374.736,20767.996,21166,22208.202,23178.136,24962.376,27679.296,28806.968
Men,10.3,19939.185,19859,20114,20123,20344.204,20745.594,21131.735,22185.253,23134.266,24924.274,27545.256,28779.402
Men,10.4,19911.16,19834.72,20086.096,20101.432,20313.336,20712.384,21104.392,22135.304,23090.104,24903.984,27521.648,28748.736
Men,10.5,19888.975,19809,20058,20076,20288.14,20681,21076.645,22107.84,23055.65,24875.27,27486.56,28710.23
Men,10.6,19866.87,19784.83,20030.472,20038,20258,20652.164,21058.188,22069.03,23036.952,24823.792,27447.752,28671.348
Men,10.7,19840.765,19762.77,20005,20015.406,20233,20625.986,21037.086,22043.457,23009.622,24791.818,27362.728,28639.606
Men,10.8,19815.66,19740.94,19978,19994.064,20206.544,20600,21008.984,22011.508,22983.84,24776.512,27310.92,28608.592
Men,10.9,19796.555,19717,19943.216,19964,20177.006,20576.364,20985,21979.236,22940,24708.732,27268.624,28580.616
Men,11,19772,19695,19910,19937.38,20152,20548.78,20959,21954.61,22907.06,24660.22,27233.68,28552.82
Men,11.1,19750.345,19669.105,19888.532,19915,20131,20528.378,20934,21930.983,22880,24642.764,27105.08,28525.382
Men,11.2,19719.24,19646,19852.744,19890.696,20106,20497.976,20902.864,21908.136,22827.464,24588.648,27072.608,28509.976
Men,11.3,19695.135,19627.215,19819.956,19864.354,20084,20476,20874,21869.763,22802,24530.316,27032.304,28507.824
Men,11.4,19675.03,19599.27,19791.168,19839.024,20058.676,20450,20857.186,21835.628,22770,24516,26948.912,28499.032
Men,11.5,19655.925,19572,19768,19816.67,20030.41,20415,20829.27,21783.73,22721.53,24501.03,26888.76,28486.12
Men,11.6,19635.82,19540.38,19750,19791.328,20000.144,20379.736,20806,21747,22681.808,24459.92,26827.224,28427.512
Men,11.7,19612.145,19517.435,19733.804,19775.972,19975.756,20355,20774,21730.901,22634.328,24404.558,26786.088,28354.344
Men,11.8,19591,19500.49,19715.016,19753.644,19944.612,20330,20743,21696,22600.964,24348.66,26757.912,28299.084
